element,count,percentage
Cu,7027,44.34837488166614
O,6995,44.146418428526346
Ba,4375,27.611233827705902
Sr,3268,20.62480277690123
Ca,2952,18.63048280214579
Y,2756,17.393499526664563
La,2704,17.0653202903124
Fe,1891,11.934364152729568
Bi,1699,10.722625433890817
As,1237,7.806879141685074
Nb,1183,7.466077627011676
Pb,1071,6.759230041022405
C,967,6.102871568318081
Ni,883,5.572735878826128
Pr,881,5.5601136005048915
B,879,5.547491322183654
Co,861,5.4338908172925215
Oz,816,5.149889555064689
Ce,799,5.042600189334175
Z,744,4.695487535500158
Nd,740,4.670242978857684
Sn,728,4.594509308930262
Mo,706,4.455664247396655
S,686,4.329441464184285
V,676,4.2663300725781
Se,670,4.228463237614389
Al,650,4.102240454402019
Si,610,3.84979488797728
Tl,596,3.761438939728621
Rh,588,3.710949826443673
Zr,570,3.59734932155254
Ru,563,3.553171347428211
Ir,544,3.4332597033764594
Zn,538,3.3953928684127486
F,529,3.338592615967182
Ti,511,3.224992111076049
Ga,502,3.168191858630483
Pd,500,3.155569580309246
Ge,485,3.0609024928999684
In,484,3.05459135373935
Te,457,2.8841905964026506
Gd,456,2.8778794572420323
Pt,441,2.783212369832755
Hg,425,2.682234143262859
K,374,2.360366046071316
Ta,371,2.34143262858946
Sm,351,2.2152098453770908
Lu,348,2.196276427895235
P,333,2.101609340485958
Eu,333,2.101609340485958
Th,329,2.0763647838434838
Mg,315,1.9880088355948249
Re,305,1.92489744398864
Er,292,1.8428526349005996
H,281,1.773430104133796
Sb,279,1.7608078258125592
Na,270,1.7040075733669928
N,255,1.6093404859577154
Li,242,1.527295676869675
W,226,1.426317450299779
Hf,223,1.4073840328179237
Os,216,1.3632060586935941
Yb,208,1.3127169454086463
Au,198,1.2496055538024613
Cr,181,1.142316188071947
X,175,1.104449353108236
Dy,174,1.0981382139476175
Mn,164,1.0350268223414327
Ho,164,1.0350268223414327
U,162,1.0224045440201956
Tm,146,0.9214263174502998
Ag,142,0.8961817608078259
Cd,139,0.8772483433259703
Sc,131,0.8267592300410224
Rb,130,0.8204480908804039
Cl,124,0.7825812559166929
Be,102,0.6437361943830862
Tb,94,0.5932470810981382
Cs,87,0.5490691069738087
I,80,0.5048911328494793
Br,63,0.397601767118965
Tc,44,0.27769012306721363
Oy,31,0.19564531397917323
D,25,0.1577784790154623
Ox,13,0.08204480908804039
Pu,8,0.050489113284947935
T,3,0.018933417481855473
Pa,3,0.018933417481855473
Np,2,0.012622278321236984
Am,2,0.012622278321236984
