element,count,mean_tc,median_tc,std_tc
Oz,816,69.86703726073763,75.25,30.809165787003185
Z,744,67.13689114512312,73.2,30.778963505532634
Ca,2952,66.08170495331389,72.80000000000001,32.467763385716395
Ba,4375,60.12140669262031,66.0,31.62302802564524
Cu,7027,56.21189657563106,58.0,31.88623357708275
Y,2756,53.28462702122799,60.0,31.289009373904232
O,6995,50.221407785792046,46.0,32.18697620910931
Sr,3268,49.66816725380125,41.3,31.884892461114077
Pb,1071,47.973934620716975,37.0,40.963558549943244
Bi,1699,46.335817816205186,35.5,38.77998494873326
Pr,881,37.52229109726488,32.0,27.66448492285525
La,2704,27.82873369699211,23.0,24.975021276514084
Fe,1891,25.549839827074624,20.25,21.48372939107237
Co,861,21.080825484571566,10.0,25.320986243979778
As,1237,20.52725542812079,18.6,15.000557231379899
C,967,16.846231026188956,9.6,23.3897551272425
Ni,883,16.344808502580083,6.964347826086957,23.148112838257294
B,879,13.77770558048342,7.75,15.117633815756607
Ce,799,13.632543218764352,9.5,14.844198346225218
Nb,1183,10.106912131957396,8.87,6.638168946656142
